[[ 0.  0.  0.]
 [ 0.  2.  0.]]
         157320 function calls (155583 primitive calls) in 5.653 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.010    0.010 inspect.py:25(<module>)
       57    0.000    0.000    0.020    0.000 sre_compile.py:493(compile)
     1246    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 gl_info.py:56(<module>)
        2    0.000    0.000    0.020    0.010 xlib.py:21(match)
     2744    0.000    0.000    0.000    0.000 {method 'read' of 'cStringIO.StringI' objects}
     1044    0.000    0.000    0.000    0.000 sre_parse.py:138(append)
     1521    0.000    0.000    0.001    0.000 sre_parse.py:195(match)
        1    0.000    0.000    0.002    0.002 __init__.py:44(<module>)
        1    0.000    0.000    0.019    0.019 __init__.py:74(<module>)
      111    0.000    0.000    0.000    0.000 xlib.py:91(poll)
        1    0.000    0.000    0.001    0.001 glx.py:37(<module>)
      100    0.000    0.000    0.000    0.000 lib.py:107(errcheck_glbegin)
     1237    0.000    0.000    0.000    0.000 sre_parse.py:126(__len__)
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
      272    0.000    0.000    0.000    0.000 sre_compile.py:354(_simple)
       57    0.000    0.000    0.010    0.000 sre_parse.py:675(parse)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of 'file' objects}
      256    0.000    0.000    0.000    0.000 posixpath.py:127(dirname)
        1    0.000    0.000    0.001    0.001 shutil.py:5(<module>)
     1199    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      703    0.000    0.000    0.000    0.000 lib.py:60(missing_function)
      126    0.000    0.000    0.020    0.000 __init__.py:349(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:35(<module>)
        1    0.000    0.000    0.011    0.011 event.py:137(<module>)
        1    0.000    0.000    0.000    0.000 zipfile.py:433(_GenerateCRCTable)
      100    0.000    0.000    0.000    0.000 __init__.py:1180(_sync_resize)
